GPU: NVIDIA GeForce RTX 5060 Ti
num_classes=10
class_names=['Hardhat', 'Mask', 'NO-Hardhat', 'NO-Mask', 'NO-Safety Vest', 'Person', 'Safety Cone', 'Safety Vest', 'machinery', 'vehicle']
train_samples=2605
val_samples=114

Epoch 001/80 | train=5.2573 val=4.1810 lr=3.00e-04 | 2.3 phút
Epoch 002/80 | train=4.0904 val=3.9476 lr=3.00e-04 | 3.2 phút
Epoch 003/80 | train=3.6991 val=3.7868 lr=2.99e-04 | 4.1 phút
Epoch 004/80 | train=3.4587 val=3.5981 lr=2.98e-04 | 5.1 phút
Epoch 005/80 | train=3.2340 val=3.5158 lr=2.97e-04 | 6.0 phút
Epoch 006/80 | train=3.0867 val=3.4782 lr=2.96e-04 | 6.9 phút
Epoch 007/80 | train=2.9474 val=3.2038 lr=2.94e-04 | 7.9 phút
Epoch 008/80 | train=2.8830 val=3.1259 lr=2.93e-04 | 8.8 phút
Epoch 009/80 | train=2.7621 val=3.0365 lr=2.91e-04 | 9.7 phút
Epoch 010/80 | train=2.7024 val=3.0052 lr=2.89e-04 | 10.7 phút
Epoch 011/80 | train=2.6344 val=2.8639 lr=2.86e-04 | 11.7 phút
Epoch 012/80 | train=2.5686 val=2.8058 lr=2.84e-04 | 12.7 phút
Epoch 013/80 | train=2.5170 val=2.7363 lr=2.81e-04 | 13.7 phút
Epoch 014/80 | train=2.4701 val=2.6669 lr=2.78e-04 | 14.7 phút
Epoch 015/80 | train=2.3933 val=2.6086 lr=2.75e-04 | 15.7 phút
Epoch 016/80 | train=2.3561 val=2.5945 lr=2.71e-04 | 16.8 phút
Epoch 017/80 | train=2.3300 val=2.4804 lr=2.68e-04 | 17.9 phút
Epoch 018/80 | train=2.2754 val=2.4939 lr=2.64e-04 | 18.9 phút
Epoch 019/80 | train=2.2525 val=2.3656 lr=2.60e-04 | 19.9 phút
Epoch 020/80 | train=2.2084 val=2.3863 lr=2.56e-04 | 21.0 phút
Epoch 021/80 | train=2.1793 val=2.3402 lr=2.52e-04 | 22.0 phút
Epoch 022/80 | train=2.1420 val=2.3563 lr=2.47e-04 | 23.1 phút
Epoch 023/80 | train=2.1146 val=2.3125 lr=2.43e-04 | 24.1 phút
Epoch 024/80 | train=2.0551 val=2.3331 lr=2.38e-04 | 25.2 phút
Epoch 025/80 | train=2.0470 val=2.3121 lr=2.33e-04 | 26.2 phút
Epoch 026/80 | train=2.0073 val=2.2655 lr=2.28e-04 | 27.2 phút
Epoch 027/80 | train=1.9685 val=2.2002 lr=2.23e-04 | 28.2 phút
Epoch 028/80 | train=1.9577 val=2.1740 lr=2.18e-04 | 29.2 phút
Epoch 029/80 | train=1.9429 val=2.2564 lr=2.13e-04 | 30.2 phút
Epoch 030/80 | train=1.9168 val=2.1773 lr=2.07e-04 | 31.2 phút
Epoch 031/80 | train=1.8960 val=2.1211 lr=2.02e-04 | 32.3 phút
Epoch 032/80 | train=1.8676 val=2.0866 lr=1.96e-04 | 33.3 phút
